보호구역 대상지,보호구역 대분류,보호구역 소분류,보호구역 위치(주소),위도,경도
청계천하류 철새보호구역,야생동식물보호구역,철새보호구역,"성동구 고산자교 ? 청계천, 중랑천 합수부",37.527,126.92
수락산 도시자연공원,주요 산림생태계,도시자연공원,노원구 상계동 산3-1번지 일대,37.564,127.04
온수 도시자연공원,주요 산림생태계,도시자연공원,"구로구 개봉, 수궁, 온수, 오류, 궁동, 양천구 신월, 신정동 일원",37.661,127.073
인왕산 도시자연공원,주요 산림생태계,도시자연공원,종로구 옥인동 산3-1 일대,37.501,126.847
북한산 국립공원,주요 산림생태계,국립공원,"서울시 종로구, 은평구, 서대문구, 성북구, 강북구, 도봉구 일원, 경기도의정부, 양주, 고양시 일원",37.577,126.973
봉화산 근린공원,주요 산림생태계,주요 근린공원,중랑구 묵동 산46-1 일대,37.612,127.076
우면산 자연생태공원,야생동식물보호구역,철새보호구역,"오목교~목동교 양안(영등포구  양평동484, 양천구 목동 409 번지 일대)",37.527,126.872
천왕 도시자연공원,주요 산림생태계,도시자연공원,구로구 천왕동 산25-1 일대,37.472,126.836
안산 도시자연공원,주요 산림생태계,도시자연공원,서대문구 홍제동 산33 일대,37.588,126.953
봉산 도시자연공원,주요 산림생태계,도시자연공원,"은평구 수색, 증산, 신사, 구산동 일원",37.589,126.905
서오릉 도시자연공원,주요 산림생태계,도시자연공원,"은평구 구파발, 갈현, 진관내동 일원",37.639,126.918
대모산 도시자연공원,주요 산림생태계,도시자연공원,"강남구 개포동, 세곡동, 서초구 염곡동, 내곡동 일원",37.468,127.055
삼청 근린공원,주요 산림생태계,주요 근린공원,종로구 삼청동 산2-1 일대,37.582,126.981
청량 근린공원,주요 산림생태계,주요 근린공원,"성북구 석관동 산 1-5 일대, 동대문구 청량리2 산1번지 일대",37.614,127.054
난지한강공원 야생생물보호구역,야생동식물보호구역,야생동식물보호구역,서울특별시 마포구 상암동 496-121,37.579,126.891
우면산(두꺼비 서식지) 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,서초구 우면동 산34-1 일대,37.442,127.049
수락산 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,노원구 상계동 산153-1 일대 ,37.656,127.08
진관 양서파충류서식지 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,은평구 진관동 산35-1외 66필지,37.641,126.929
